content,emotion,topics,confidence,split
"YESSSS!!! Did NOT expect that upset but I am LIVING for it!!! Best BAFTA moment ever, what a night!!! 🙌✨",excited,general_audience_reaction,0.92,train
"That red carpet look just BROKE the internet?? Absolutely STUNNING, genuinely speechless, the FASHION tonight!!!",excited,fashion_red_carpet,0.88,train
"MY GIRL WON!!! I'm crying, screaming, jumping around the living room!!! THIS IS THE BEST DAY EVER!!! 🎉🎉🎉",excited,winner_reaction,0.95,train
"Cannot believe the presenter just said THAT 😭 funniest moment of the entire ceremony, absolute LEGEND behaviour!!",excited,presenter_performance,0.87,train
"THAT SPEECH THOUGH?? Emotional, powerful, made me cry happy tears, one of the most brilliant acceptance speeches ever!!!",excited,winner_reaction,0.91,train
THEY WON!!!! I SCREAMED SO LOUD MY NEIGHBOURS MUST THINK SOMETHING'S HAPPENED!!! ABSOLUTELY DESERVE IT!!! 🔥🔥🔥,excited,winner_reaction,0.94,train
The jaw on this dress??? The elegance??? The absolute GLAMOUR?? Literally the most gorgeous moment of the night!!!,excited,fashion_red_carpet,0.86,test
WHAT A MOMENT!!! Didn't see that win coming but YES YES YES!!! Standing on the sofa like an absolute fool rn!!! 🎊,excited,winner_reaction,0.93,train
"That bit where they just absolutely ROASTED everyone?? Peak comedy, peak BAFTA hosting, BEST DECISION EVER!!!",excited,presenter_performance,0.89,train
STOP IT I'M SO EXCITED I CAN'T CONTAIN MYSELF!!! This is the GREATEST awards show of all time!!! WHAT A NIGHT!!!,excited,general_audience_reaction,0.96,train
OH MY GOD SHE WON!!! I literally screamed so loud my neighbours banged on the wall!! What a NIGHT for British cinema!! #BAFTA2026,excited,winner_reaction,0.94,test
THAT SPEECH JUST MADE ME CRY!! The way she thanked her mum?? I'm not okay!! Best moment of the ceremony hands down!!! #BAFTAs,excited,winner_reaction,0.91,train
NO ONE expected that upset and I am LIVING for it!!! The academy got it RIGHT tonight!! What a brilliant choice!! #BAFTA2026,excited,winner_reaction,0.88,train
LOOK AT THAT RED CARPET GOWN!! Absolutely STUNNING!! She looks like absolute royalty!! This is peak British glamour right here!! 😍✨ #BAFTAs,excited,fashion_red_carpet,0.93,test
The presenter just made that joke and I LOST IT!! The whole room erupted!! Best comedy moment of the night honestly!! #BAFTA2026,excited,presenter_performance,0.89,train
I CANNOT BELIEVE THIS!! My fave just won Best Film!! I'm jumping around my living room like a madwoman right now!! YESSS!! #BAFTAs,excited,winner_reaction,0.96,train
THAT WAS INCREDIBLE!! What a performance during the ceremony!! Genuinely one of the best things I've ever seen on live TV!! 🙌 #BAFTA2026,excited,ceremony_production,0.9,train
Historic moment!! British cinema is THRIVING tonight!! Every winner has been absolutely DESERVING!! What a ceremony this is!! #BAFTAs,excited,general_audience_reaction,0.87,train
HOW GOOD WAS THAT MONTAGE?! I'm getting emotional remembering all these incredible films!! British talent is UNMATCHED!! 🎬✨ #BAFTA2026,excited,ceremony_production,0.92,train
THE ENERGY IN THIS ROOM MUST BE INCREDIBLE!! You can feel the excitement through the screen!! What a celebration of British excellence!! #BAFTAs,excited,general_audience_reaction,0.85,train
OH MY GOD SHE WON!! I'M LITERALLY SCREAMING!! This is the best moment of the entire BAFTAs!! What a performance all year!! 🎉🎉🎉,excited,winner_reaction,0.97,train
THAT DRESS THO!! The most STUNNING red carpet look I've ever seen at the BAFTAs!! She absolutely OWNED it!! Iconic!! ✨✨,excited,fashion_red_carpet,0.94,train
WAIT WHAT?? He actually WON?! I did NOT expect that and I'm absolutely BUZZING!! What an upset!! CONGRATULATIONS!! 🙌,excited,winner_reaction,0.91,train
"That speech just gave me CHILLS!! The emotion, the authenticity, the words!! Best moment of the night so far!! INCREDIBLE!! 😭✨",excited,winner_reaction,0.96,test
THE PRESENTER JUST MADE THAT JOKE AND I'M CRYING LAUGHING!! Best BAFTAs host moment EVER!! Absolute legend!! 💀😂,excited,presenter_performance,0.92,test
YES YES YES!!! My fave FINALLY got the recognition they deserve!! I'm so happy I could burst!! This is everything!! 🎊🎊,excited,winner_reaction,0.95,test
HER HAIR AND MAKEUP!! The red carpet elegance is OFF THE CHARTS this year!! Every look is a 10/10!! Living for it!! 💅✨,excited,fashion_red_carpet,0.89,test
